ID	Sample5_RIBO	Sample10_RIBO	Sample15_RIBO	Sample20_RIBO	Sample1_RIBO	Sample6_RIBO	Sample11_RIBO	Sample16_RIBO	Sample5_RNA	Sample10_RNA	Sample15_RNA	Sample20_RNA	Sample1_RNA	Sample6_RNA	Sample11_RNA	Sample16_RNA
ENSG00000178075	6	10	12	12	8	6	6	9	38	43	30	46	33	43	65	58
ENSG00000184307	2	7	3	6	8	2	1	13	19	13	8	24	18	15	32	31
ENSG00000163617	7	17	23	14	38	22	6	9	283	479	310	306	326	365	407	240
ENSG00000151576	138	197	249	148	177	187	58	93	200	273	233	214	237	249	258	244
ENSG00000151577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000174255	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000181847	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ENSG00000181722	150	363	335	280	267	344	120	201	39	36	36	33	72	40	67	77
ENSG00000279131	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
ENSG00000279380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000172020	36	89	95	20	80	120	35	23	77	141	134	43	137	166	244	111
ENSG00000185565	4	8	15	3	5	26	10	8	2	10	12	15	3	6	28	16
ENSG00000144847	0	0	0	0	0	0	0	0	0	1	5	0	0	2	8	0
ENSG00000163424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ENSG00000251012	0	0	3	0	2	0	1	0	0	0	0	0	0	1	4	1
ENSG00000114638	6	0	19	2	4	3	9	2	6	9	25	20	18	15	46	20
ENSG00000121578	695	771	841	474	1181	1021	308	545	2291	2761	2479	1874	2612	2632	3306	2207
ENSG00000031081	170	230	304	134	329	265	86	133	658	591	627	388	784	539	774	715
ENSG00000176142	421	463	641	345	275	399	109	175	2077	2589	2116	2339	1487	2075	1568	1498
ENSG00000163389	350	381	524	390	424	488	144	344	818	1002	659	1040	891	908	1130	1354
ENSG00000113845	801	1223	1373	1040	1087	1090	383	723	3147	4767	3611	3869	3369	3736	4131	3823
ENSG00000121594	0	0	1	0	1	1	0	4	2	2	0	1	5	3	7	13
ENSG00000144843	39	38	69	21	59	53	20	28	54	58	47	34	66	91	80	83
ENSG00000144837	0	0	0	0	0	2	1	0	3	0	0	0	1	1	2	0
ENSG00000121577	2	1	8	2	13	14	8	4	56	80	82	30	182	154	155	69
ENSG00000138495	101	170	176	185	124	148	47	95	355	518	449	463	531	361	560	541
ENSG00000183833	2	0	3	0	0	0	0	0	3	16	4	2	5	13	7	3
ENSG00000144852	0	0	2	0	0	0	0	0	0	2	3	1	2	0	3	1
ENSG00000082701	565	883	879	666	1025	1197	346	471	1049	1331	970	912	1322	1417	1280	1264
ENSG00000175697	11	13	10	14	8	12	2	0	68	107	45	45	52	67	60	20
ENSG00000163428	105	167	251	126	179	172	79	84	141	220	152	129	252	288	468	304
ENSG00000163430	34678	59337	73114	42501	55693	61570	23251	37044	46985	58924	53041	53422	61809	66212	76705	74243
ENSG00000065518	729	837	1021	789	679	937	237	473	2584	4122	3559	3386	3542	3451	3852	3460
ENSG00000113924	15	13	53	25	2	5	5	6	53	104	183	121	34	36	159	70
ENSG00000144840	294	425	539	377	302	387	117	226	509	714	532	752	624	654	878	816
ENSG00000153767	217	484	521	376	299	360	98	184	313	575	422	395	379	475	418	376
ENSG00000145087	0	0	1	0	0	0	0	0	0	2	0	2	0	0	1	1
ENSG00000051341	0	6	3	2	9	3	5	6	50	30	22	36	53	39	69	39
ENSG00000186103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000180353	3	0	5	2	5	0	0	0	32	13	13	22	21	7	9	7
ENSG00000173230	2465	3186	3958	2611	3130	4478	955	2012	18068	26200	18427	24653	19566	21422	21891	21606
ENSG00000173226	66	86	108	75	47	73	24	30	468	784	605	479	417	509	557	426
ENSG00000145088	17	34	45	41	17	33	5	14	117	166	114	185	72	78	85	82
ENSG00000163406	0	4	8	2	0	1	1	0	36	46	32	35	15	16	24	22
ENSG00000145103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000114013	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000036828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000121552	50	536	307	25	64	356	45	13	144	1225	454	89	237	913	508	74
ENSG00000160124	89	174	194	105	84	138	27	51	206	319	306	226	315	316	314	267
ENSG00000114023	1287	1576	2376	2108	1315	1667	667	987	2746	4113	3351	5341	3370	3325	4876	4286
ENSG00000196981	55	85	106	46	56	78	31	29	229	417	278	306	234	329	338	289
